image_name,x1,y1,x2,y2,theta,fdi_last_digit,fdi_number
upper_1000.png,-0.5169,0.2871,-0.3187,0.5520,0.787093,6,16
upper_1000.png,-0.4834,0.1135,-0.3089,0.2978,0.880233,5,15
upper_1000.png,-0.4321,-0.0567,-0.2560,0.1313,0.975227,4,14
upper_1000.png,-0.3698,-0.2401,-0.2199,-0.0349,-0.888666,3,13
upper_1000.png,-0.2731,-0.3530,-0.1281,-0.1583,-0.752571,2,12
upper_1000.png,-0.1420,-0.3989,0.0164,-0.2019,-0.577404,1,11
upper_1000.png,-0.1679,-0.3876,-0.0180,-0.1932,-0.618802,1,21
upper_1000.png,-0.2772,-0.3485,-0.1532,-0.1644,-0.760284,2,22
upper_1000.png,-0.3828,-0.2169,-0.2322,-0.0157,-0.914145,3,23
upper_1000.png,-0.4230,-0.0378,-0.2527,0.1485,0.964231,4,24
upper_1000.png,-0.4827,0.3071,-0.2736,0.5755,0.766208,6,26
upper_1000.png,-0.4660,0.1296,-0.2970,0.3053,0.868526,5,25
upper_10000.png,-0.4459,0.2725,-0.2725,0.5703,0.820612,6,16
upper_10000.png,-0.4046,0.0969,-0.2690,0.2893,0.903292,5,15
upper_10000.png,-0.3530,-0.0660,-0.2177,0.1313,0.979603,4,14
upper_10000.png,-0.2908,-0.2406,-0.1742,-0.0304,-0.905369,3,13
upper_10000.png,-0.2153,-0.3216,-0.1087,-0.1361,-0.790041,2,12
upper_10000.png,-0.1203,-0.3716,0.0057,-0.1688,-0.625460,1,11
upper_10000.png,-0.1215,-0.3698,-0.0046,-0.1794,-0.633917,1,21
upper_10000.png,-0.2124,-0.3256,-0.1109,-0.1462,-0.784440,2,22
upper_10000.png,-0.2844,-0.2304,-0.1691,-0.0215,-0.911113,3,23
upper_10000.png,-0.3461,-0.0609,-0.2123,0.1383,0.980722,4,24
upper_10000.png,-0.4068,0.0827,-0.2730,0.2914,0.904764,5,25
upper_10000.png,-0.4556,0.2351,-0.2935,0.5475,0.833095,6,26
upper_10001.png,-0.4416,0.2692,-0.2634,0.5434,0.788193,6,16
upper_10001.png,-0.3984,0.0922,-0.2544,0.2825,0.883522,5,15
upper_10001.png,-0.3421,-0.0542,-0.1808,0.1483,0.962172,4,14
upper_10001.png,-0.3146,-0.2246,-0.1954,-0.0503,-0.896378,3,13
upper_10001.png,-0.2046,-0.2486,-0.0823,-0.0776,-0.797802,2,12
upper_10001.png,-0.1464,-0.3760,-0.0149,-0.1999,-0.621517,1,11
upper_10001.png,-0.1141,-0.3915,0.0161,-0.2010,-0.577415,1,21
upper_10001.png,-0.1945,-0.3453,-0.1032,-0.1509,-0.737611,2,22
upper_10001.png,-0.2905,-0.2352,-0.1662,-0.0353,-0.875652,3,23
upper_10001.png,-0.3537,-0.0695,-0.2007,0.1396,0.971807,4,24
upper_10001.png,-0.4121,0.0835,-0.2605,0.2780,0.893825,5,25
upper_10001.png,-0.4653,0.2492,-0.2854,0.5454,0.798927,6,26
upper_10002.png,-0.4636,0.2256,-0.2767,0.5456,0.816764,6,16
upper_10002.png,-0.4079,0.0262,-0.2497,0.2464,0.921771,4,14
upper_10002.png,-0.3324,-0.1984,-0.1927,0.0419,-0.947744,3,13
upper_10002.png,-0.2413,-0.3293,-0.1166,-0.0955,-0.790316,2,12
upper_10002.png,-0.1274,-0.3923,0.0077,-0.1355,-0.601486,1,11
upper_10002.png,-0.1441,-0.3890,-0.0099,-0.1332,-0.636071,1,21
upper_10002.png,-0.2581,-0.3120,-0.1266,-0.0756,-0.811682,2,22
upper_10002.png,-0.3305,-0.1633,-0.1961,0.0781,-0.971316,3,23
upper_10002.png,-0.3978,0.0470,-0.2444,0.2709,0.903498,4,24
upper_10002.png,-0.4472,0.2254,-0.2701,0.5578,0.815564,6,26
upper_10003.png,-0.4529,0.2763,-0.2734,0.5350,0.787809,6,16
upper_10003.png,-0.4113,0.1223,-0.2640,0.3062,0.869100,5,15
upper_10003.png,-0.3757,-0.0430,-0.2105,0.1506,0.958426,4,14
upper_10003.png,-0.3290,-0.2152,-0.1971,-0.0285,-0.905794,3,13
upper_10003.png,-0.2534,-0.3425,-0.1301,-0.1432,-0.762881,2,12
upper_10003.png,-0.1485,-0.4128,0.0034,-0.2011,-0.595260,1,11
upper_10003.png,-0.1463,-0.4196,-0.0023,-0.2048,-0.595377,1,21
upper_10003.png,-0.2576,-0.3302,-0.1318,-0.1477,-0.762368,2,22
upper_10003.png,-0.3213,-0.2167,-0.1955,-0.0269,-0.904700,3,23
