epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3269.67,0.32111,0.44601,0.36705,0.82262,0,0.99833,0.9996,0.99423,0.97299,0.99824,0.99951,0.99423,0.94171,0.2271,0.34968,0.15383,0.79565,0,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291
2,6465.05,0.31467,0.38886,0.21212,0.82096,0,0.99832,0.99979,0.99455,0.97627,0.99817,0.99965,0.9945,0.94963,0.21785,0.33261,0.13051,0.7946,0,0.0199789,0.00665965,0.0199789,0.00665965,0.0199789,0.00665965,0.0199789,0.00665965
3,9595.48,0.30889,0.3893,0.19895,0.8211,0,0.99832,0.99982,0.99465,0.97819,0.99822,0.99972,0.99464,0.94993,0.20925,0.32763,0.12405,0.79328,0,0.0299393,0.00997978,0.0299393,0.00997978,0.0299393,0.00997978,0.0299393,0.00997978
4,12711.5,0.29074,0.38031,0.18212,0.8177,0,0.99861,0.99987,0.99457,0.98049,0.99851,0.99977,0.99456,0.95333,0.20123,0.31856,0.11231,0.79019,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,15820.2,0.27414,0.36962,0.16666,0.81366,0,0.99861,0.99987,0.99462,0.98181,0.99852,0.99978,0.9946,0.95339,0.19623,0.31354,0.10655,0.78845,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,18936.2,0.26538,0.36242,0.15876,0.81212,0,0.99867,0.99985,0.99469,0.982,0.99861,0.99979,0.99467,0.95488,0.19263,0.30802,0.10292,0.78765,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,22044.9,0.25968,0.35807,0.15375,0.8107,0,0.99864,0.99988,0.99467,0.98217,0.9986,0.99984,0.99465,0.95509,0.19082,0.30574,0.10025,0.78705,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,25173.8,0.2551,0.3532,0.14974,0.81021,0,0.99863,0.9999,0.99471,0.98333,0.9986,0.99987,0.9947,0.95573,0.18808,0.30267,0.09782,0.78657,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,28302.6,0.25171,0.35001,0.14701,0.80905,0,0.99864,0.99991,0.99474,0.98314,0.99861,0.99988,0.99473,0.9574,0.18618,0.30046,0.0968,0.78614,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,31434.8,0.24884,0.34762,0.14412,0.80878,0,0.99866,0.99993,0.99475,0.98337,0.99862,0.99989,0.99474,0.95843,0.18473,0.29912,0.09522,0.78587,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,34563.7,0.24635,0.34497,0.14289,0.80813,0,0.99867,0.99993,0.99475,0.98339,0.99862,0.99988,0.99474,0.95839,0.18378,0.29771,0.09439,0.78555,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
